Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH",Non-CBSA,Other & Unknown
2011,Legal Permanent Resident,Afghanistan,1648,179,86,D,248,20,187,20,46,8,43,60,21,40,22,32,43,-,-,8,13,-,19,56,4,5,7,-,-,6,4,-,D,3,23,7,D,5,3,10,17,19,-,D,6,7,-,-,40,-,8,D,316
2011,Legal Permanent Resident,Albania,3612,1032,25,28,58,163,7,28,30,287,12,11,236,D,29,7,24,492,8,10,3,110,16,D,20,D,6,D,-,3,5,28,3,24,4,4,D,84,5,D,24,95,-,106,D,6,-,-,-,35,63,5,465
2011,Legal Permanent Resident,Algeria,1364,250,34,22,87,66,188,25,10,89,21,8,148,8,8,6,4,17,6,4,17,6,D,7,9,D,18,-,D,15,D,28,D,D,-,3,25,12,15,7,5,-,-,4,-,-,-,D,3,6,D,4,167
2011,Legal Permanent Resident,American Samoa,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,1
2011,Legal Permanent Resident,Andorra,3,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2011,Legal Permanent Resident,Angola,148,11,D,11,9,-,D,14,D,32,6,-,3,D,D,-,D,-,-,-,D,D,-,-,3,D,-,-,-,-,3,3,11,D,-,-,-,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,26
2011,Legal Permanent Resident,Anguilla,25,7,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1
2011,Legal Permanent Resident,Antigua-Barbuda,368,171,D,30,12,D,-,4,D,9,13,-,8,-,D,D,3,-,14,D,-,6,-,-,D,D,-,-,-,-,-,D,D,D,-,D,-,3,-,D,-,D,-,D,-,-,-,D,-,-,-,40,36
2011,Legal Permanent Resident,Argentina,4473,611,292,1445,133,76,55,199,92,51,82,22,49,27,37,50,21,7,79,15,24,37,37,11,22,13,10,5,D,13,21,8,10,35,48,3,7,11,14,17,28,11,6,6,D,11,3,28,4,5,5,29,644
2011,Legal Permanent Resident,Armenia,2983,253,1990,15,38,14,29,9,13,71,7,22,26,23,26,5,3,12,7,D,15,3,62,47,13,7,8,-,-,D,D,5,13,D,13,D,D,D,-,D,3,5,-,4,-,D,40,-,-,3,17,5,143
2011,Legal Permanent Resident,Aruba,39,3,-,9,D,-,-,D,D,3,D,-,-,-,D,-,-,-,9,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
2011,Legal Permanent Resident,Australia,2343,316,284,34,52,61,105,49,46,55,38,48,43,30,64,22,24,15,19,15,37,18,29,23,15,32,25,D,22,9,12,10,7,10,27,18,9,5,11,10,10,3,4,4,D,9,5,-,D,5,6,56,587
2011,Legal Permanent Resident,Austria,424,59,38,24,11,13,17,7,6,16,7,8,8,15,11,-,9,11,D,7,3,6,3,4,D,D,5,-,D,-,3,D,D,D,3,-,-,D,-,D,3,-,-,D,-,D,-,-,-,-,-,10,100
2011,Legal Permanent Resident,Azerbaijan,728,198,104,13,30,29,18,42,6,16,7,10,19,15,33,D,9,6,5,9,11,-,D,4,4,6,D,-,-,-,D,D,D,4,4,D,12,D,-,D,4,D,-,-,D,D,D,D,D,-,D,3,85
2011,Legal Permanent Resident,Bahamas,668,27,4,293,7,10,-,9,12,6,56,D,6,-,-,3,4,4,22,3,D,26,-,-,4,D,-,-,-,D,5,D,D,3,-,D,-,-,3,4,-,10,-,-,D,D,-,-,-,3,-,3,129
2011,Legal Permanent Resident,Bahrain,119,21,8,3,15,8,4,9,4,7,3,-,D,D,D,-,-,3,D,D,D,D,-,-,D,-,D,-,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,16
2011,Legal Permanent Resident,Bangladesh,16707,9323,583,387,802,151,81,224,328,219,451,18,596,49,60,86,86,831,108,58,36,60,31,25,68,31,50,3,4,35,15,59,16,109,-,25,19,116,25,62,14,10,3,11,-,4,3,-,5,15,19,41,1352
2011,Legal Permanent Resident,Barbados,455,214,5,31,18,-,4,9,-,14,9,D,17,-,D,D,3,-,5,D,D,8,D,D,5,-,3,D,D,-,3,-,D,-,-,-,D,6,D,5,-,D,D,-,-,-,-,-,-,-,-,8,70
2011,Legal Permanent Resident,Belarus,1964,463,56,76,59,115,66,11,12,91,43,22,80,46,82,7,10,10,20,41,39,4,8,30,22,25,5,-,5,-,8,6,3,31,8,6,-,8,3,7,8,8,-,6,D,3,D,-,-,12,14,20,362
2011,Legal Permanent Resident,Belgium,567,123,32,27,30,8,20,18,7,18,20,7,6,23,8,-,5,6,11,6,5,D,D,3,5,5,D,-,D,D,4,D,4,3,D,D,3,-,D,7,D,4,-,D,-,D,-,-,-,D,3,11,116
2011,Legal Permanent Resident,Belize,905,170,246,44,4,118,11,56,16,D,14,5,7,3,4,19,5,D,5,5,-,D,9,-,6,8,7,-,-,3,-,D,D,D,D,D,-,-,4,D,-,3,-,-,D,D,-,-,-,-,-,6,112
2011,Legal Permanent Resident,Benin,462,45,3,6,83,40,D,7,8,7,29,D,30,-,D,-,4,5,-,5,4,D,-,D,10,D,5,-,-,-,6,D,-,D,D,D,-,D,14,6,D,-,-,-,-,-,-,-,-,D,D,3,123
2011,Legal Permanent Resident,Bermuda,71,9,D,6,D,D,D,D,3,D,6,-,D,-,-,-,-,-,D,D,-,D,D,D,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,D,21
2011,Legal Permanent Resident,Bhutan,10137,77,D,-,116,267,157,364,513,77,621,25,115,7,358,-,282,-,-,96,397,D,48,22,154,98,98,-,-,197,133,122,44,-,266,240,71,10,-,50,131,107,-,97,243,-,-,-,-,-,128,4,4397
2011,Legal Permanent Resident,Bolivia,2173,189,147,206,772,41,24,67,15,40,21,17,8,14,8,12,10,D,18,5,11,8,10,4,13,10,8,-,-,7,4,3,80,6,27,D,D,3,-,6,5,7,-,-,D,-,D,5,3,-,3,14,315
2011,Legal Permanent Resident,Bosnia-Herzegovina,878,50,16,8,11,71,19,15,24,17,30,4,8,13,13,D,24,20,8,11,10,27,12,4,11,12,D,-,D,3,9,-,D,4,29,3,3,12,3,D,61,16,-,-,-,-,-,D,-,8,6,6,269
2011,Legal Permanent Resident,Botswana,76,9,D,-,9,D,D,-,4,-,8,-,D,-,-,-,-,D,5,D,D,3,D,D,D,D,D,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,16
2011,Legal Permanent Resident,Brazil,11763,1638,448,1834,292,159,311,204,225,1342,472,189,146,76,89,50,77,57,386,53,68,160,69,36,62,28,63,6,34,26,59,20,140,266,124,13,19,38,32,18,33,45,3,196,9,23,4,14,6,20,24,118,1939
2011,Legal Permanent Resident,British Virgin Islands,37,11,-,5,-,-,-,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,D,D,-,-,-,-,7,1
2011,Legal Permanent Resident,Brunei,25,3,8,-,D,-,-,-,D,-,D,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
2011,Legal Permanent Resident,Bulgaria,2661,244,108,79,91,495,80,20,37,92,89,41,32,23,64,11,44,26,23,18,43,49,90,14,27,8,6,-,4,6,6,10,12,26,13,5,5,5,10,10,21,11,-,D,D,D,-,D,-,7,4,41,605
2011,Legal Permanent Resident,Burkina Faso,433,173,-,D,42,8,D,13,5,D,18,D,24,-,7,5,7,D,D,D,7,D,-,-,8,D,D,-,-,D,D,5,D,-,-,-,-,-,D,-,-,-,-,-,3,-,-,D,-,-,3,D,86
2011,Legal Permanent Resident,Burma,16518,433,375,69,280,273,532,340,1029,79,674,134,186,68,263,32,510,7,24,463,382,48,19,21,300,110,144,4,15,176,167,71,9,3,193,249,301,78,854,48,63,201,-,60,30,6,3,-,7,249,37,67,6832
2011,Legal Permanent Resident,Burundi,593,15,-,-,13,6,3,24,43,-,12,10,5,-,8,-,19,D,-,D,6,-,-,-,5,5,5,-,-,20,3,3,10,-,5,3,4,D,D,D,3,7,-,D,13,-,-,D,-,D,-,3,330
2011,Legal Permanent Resident,Cambodia,2745,35,443,7,93,41,51,86,61,309,47,52,134,59,231,60,27,5,5,113,17,8,13,22,5,37,10,-,5,-,9,17,56,11,15,6,D,11,4,D,D,14,-,15,D,6,17,-,37,3,8,33,500
2011,Legal Permanent Resident,Cameroon,4754,192,104,22,1595,121,33,212,212,121,243,12,90,29,22,20,52,45,11,175,28,17,21,4,243,10,34,D,-,9,26,66,7,5,10,7,34,4,6,8,D,10,3,37,18,-,-,-,4,24,9,14,780
2011,Legal Permanent Resident,Canada,12800,1072,744,459,267,313,394,375,310,434,250,233,200,239,410,123,312,366,121,160,155,168,126,92,77,147,101,7,42,55,106,80,32,66,48,69,61,63,37,82,46,35,8,36,52,65,14,4,22,41,65,330,3686
2011,Legal Permanent Resident,Cape Verde,1808,11,D,5,D,-,-,D,-,1281,3,D,-,-,D,-,-,-,4,-,D,D,-,D,D,-,D,-,-,-,D,-,426,14,D,-,D,D,-,-,-,D,-,D,-,-,-,-,-,-,-,D,46
2011,Legal Permanent Resident,Cayman Islands,41,7,D,17,-,-,-,D,-,-,-,D,D,-,-,D,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,5
2011,Legal Permanent Resident,Central African Republic,134,15,D,-,21,D,D,4,4,D,6,-,D,-,-,-,D,D,-,-,10,-,D,-,4,D,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,4,-,7,6,-,-,-,D,-,-,-,30
2011,Legal Permanent Resident,Chad,171,52,D,-,21,-,-,7,7,-,4,D,D,-,D,-,5,-,-,-,-,-,-,-,D,D,D,-,-,-,D,D,-,D,-,-,-,-,6,-,D,D,-,D,D,-,-,-,-,-,-,-,50
2011,Legal Permanent Resident,Chile,1853,266,100,353,77,35,37,62,40,27,45,13,29,12,25,17,18,3,26,19,26,17,10,8,18,17,12,D,D,8,18,3,3,15,28,6,D,9,8,6,6,3,-,5,5,6,-,14,16,6,3,28,342
2011,Legal Permanent Resident,"China, People's Republic",87016,28390,10113,682,1924,2479,7479,1539,1047,2699,1032,762,1886,2557,1625,709,540,493,323,465,425,280,610,660,587,573,284,33,814,132,221,281,196,187,199,154,204,176,258,254,356,121,24,143,108,149,86,63,103,173,282,740,11396
2011,Legal Permanent Resident,Colombia,22635,5089,623,5833,513,340,158,804,349,597,715,102,210,74,97,149,89,26,950,83,82,574,94,38,78,39,56,19,9,75,199,18,208,269,63,38,39,100,25,74,26,107,20,43,20,24,12,130,7,37,26,145,3140
2011,Legal Permanent Resident,Comoros,8,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,2
2011,Legal Permanent Resident,"Congo, Democratic Republic",2424,51,31,7,92,39,12,61,231,63,146,20,14,4,39,4,84,16,9,36,85,-,25,12,29,36,11,-,D,34,91,13,D,14,32,9,7,D,15,51,38,6,-,13,33,-,-,-,D,7,3,19,876
2011,Legal Permanent Resident,"Congo, Republic",1371,46,23,6,70,29,6,54,101,32,86,4,23,6,30,5,22,11,D,17,31,D,9,3,16,15,21,-,-,6,62,10,6,6,8,8,8,D,12,40,23,7,-,4,10,D,3,-,-,5,D,23,456
2011,Legal Permanent Resident,Cook Islands,3,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Legal Permanent Resident,Costa Rica,2135,501,67,270,46,16,19,58,37,45,63,14,48,11,18,28,23,6,55,11,5,35,7,8,7,5,11,4,D,8,41,D,5,22,D,10,7,-,4,4,10,13,D,5,D,10,D,8,-,4,7,13,538
2011,Legal Permanent Resident,Cote d'Ivoire,1302,386,7,12,145,24,9,26,35,22,82,7,92,4,20,5,16,11,D,16,14,9,4,D,24,D,8,-,-,-,25,18,13,8,4,-,4,5,11,D,10,4,-,4,8,-,-,-,D,D,8,3,190
2011,Legal Permanent Resident,Croatia,349,71,25,12,16,20,5,6,8,12,5,7,4,7,4,3,3,3,D,D,D,8,4,D,D,D,3,-,D,D,D,3,D,D,4,D,D,-,D,-,3,4,-,-,-,-,-,-,-,3,4,4,77
2011,Legal Permanent Resident,Cuba,36452,940,191,25116,64,104,41,508,215,40,179,43,56,5,17,47,221,6,597,17,27,2152,672,3,17,78,225,14,-,47,73,7,D,10,11,62,127,16,12,27,34,222,13,4,45,4,D,125,-,10,6,91,3909
2011,Legal Permanent Resident,Cyprus,101,26,13,3,3,D,5,D,D,3,-,D,D,D,3,D,D,D,D,-,-,D,D,-,D,-,3,-,D,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,D,19
2011,Legal Permanent Resident,Czech Republic,303,36,19,10,16,20,17,4,3,7,9,9,5,6,10,3,D,7,3,D,D,4,3,D,3,4,D,D,D,3,3,-,D,-,D,-,-,-,D,D,-,D,-,-,D,-,-,-,D,-,D,7,74
2011,Legal Permanent Resident,"Czechoslovakia, former",466,49,31,22,18,48,14,6,3,7,13,3,7,3,4,-,D,D,9,D,6,5,3,4,4,4,3,-,D,-,D,D,D,D,D,D,D,D,-,8,D,5,-,D,D,D,D,-,D,D,D,8,151
2011,Legal Permanent Resident,Denmark,459,58,46,17,16,8,18,10,12,7,15,14,5,5,15,D,D,5,13,6,8,4,5,5,4,6,7,-,-,D,5,-,D,9,D,D,D,3,3,6,D,D,D,-,D,-,-,D,-,D,3,8,96
2011,Legal Permanent Resident,Djibouti,56,-,-,-,8,D,D,-,3,D,D,-,-,-,10,-,-,D,-,16,D,D,D,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
2011,Legal Permanent Resident,Dominica,287,100,D,20,5,D,D,13,D,8,11,D,7,D,D,D,-,-,D,-,-,6,-,-,D,-,-,-,-,-,-,-,-,4,-,-,D,6,-,-,D,-,D,D,-,-,-,4,-,-,-,63,21
2011,Legal Permanent Resident,Dominican Republic,46109,28569,62,1979,500,133,22,138,73,3478,199,19,934,8,17,14,52,37,612,23,16,285,54,5,96,8,17,7,D,18,138,59,1069,272,21,12,41,162,72,72,8,37,9,246,8,D,D,2059,D,34,47,431,3932
2011,Legal Permanent Resident,Ecuador,11103,6104,317,998,204,393,36,136,80,88,113,22,115,12,23,68,35,9,152,136,22,105,29,12,25,D,10,6,D,6,211,7,35,211,39,17,18,42,13,13,13,20,6,44,6,4,5,21,6,7,6,34,1063
2011,Legal Permanent Resident,Egypt,7778,2369,723,95,326,123,76,120,161,173,51,59,242,38,91,182,41,102,69,80,22,97,13,31,55,40,11,D,D,15,43,44,55,15,9,592,18,21,38,42,13,22,D,82,D,18,17,D,5,14,96,30,1191
2011,Legal Permanent Resident,El Salvador,18667,2366,4288,372,2878,164,866,1564,676,463,229,77,56,125,65,407,95,22,39,72,87,62,264,65,167,32,35,D,D,51,116,15,62,25,48,42,49,14,34,37,4,20,5,49,8,51,124,7,22,8,8,129,2197
2011,Legal Permanent Resident,Equatorial Guinea,13,D,D,-,D,-,-,D,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
2011,Legal Permanent Resident,Eritrea,2102,40,62,7,256,43,136,63,97,32,82,44,21,46,247,9,25,D,4,51,80,6,63,D,49,10,D,D,D,D,25,57,12,D,17,22,12,3,33,15,22,6,-,D,19,D,-,-,D,12,D,4,357
2011,Legal Permanent Resident,Estonia,191,43,8,13,6,13,7,-,D,3,D,D,D,3,5,D,D,D,4,D,-,D,D,D,4,D,3,-,D,D,D,-,-,5,-,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,D,5,43
